年度,出口國代碼,出口國,HS6碼,進口國,MFN稅率%,有效關稅率%,優惠差距%
2018,US,United States of America,800300,Afghanistan,5.0,5.0,0.0
2026,US,United States of America,800300,Albania,0.0,0.0,0.0
2022,US,United States of America,800300,Algeria,15.0,15.0,0.0
2025,US,United States of America,800300,Angola,0.0,0.0,0.0
2025,US,United States of America,800300,Anguilla,10.0,10.0,0.0
2022,US,United States of America,800300,Antigua and Barbuda,5.0,5.0,0.0
2023,US,United States of America,800300,Argentina,12.0,12.0,0.0
2025,US,United States of America,800300,Armenia,0.59,0.59,0.0
2025,US,United States of America,800300,Aruba,6.0,6.0,0.0
2025,US,United States of America,800300,Australia,0.0,0.0,0.0
2026,US,United States of America,800300,Austria,0.0,0.0,0.0
2024,US,United States of America,800300,Azerbaijan,0.0,0.0,0.0
2025,US,United States of America,800300,Bahamas,45.0,45.0,0.0
2025,US,United States of America,800300,Bahrain,5.0,0.0,5.0
2026,US,United States of America,800300,Bangladesh,10.0,10.0,0.0
2022,US,United States of America,800300,Barbados,5.0,5.0,0.0
2025,US,United States of America,800300,Belarus,0.59,0.59,0.0
2026,US,United States of America,800300,Belgium,0.0,0.0,0.0
2025,US,United States of America,800300,Belize,0.0,0.0,0.0
2025,US,United States of America,800300,Benin,20.0,20.0,0.0
2025,US,United States of America,800300,Bermuda,25.0,25.0,0.0
2025,US,United States of America,800300,Bhutan,10.0,10.0,0.0
2025,US,United States of America,800300,Bolivia (Plurinational State of),10.0,10.0,0.0
2026,US,United States of America,800300,Bosnia and Herzegovina,0.0,0.0,0.0
2026,US,United States of America,800300,Botswana,0.0,0.0,0.0
2023,US,United States of America,800300,Brazil,12.0,12.0,0.0
2025,US,United States of America,800300,Brunei Darussalam,0.0,0.0,0.0
2026,US,United States of America,800300,Bulgaria,0.0,0.0,0.0
2025,US,United States of America,800300,Burkina Faso,20.0,20.0,0.0
2025,US,United States of America,800300,Burundi,10.0,10.0,0.0
2024,US,United States of America,800300,Cabo Verde,5.0,5.0,0.0
2021,US,United States of America,800300,Cambodia,7.0,7.0,0.0
2019,US,United States of America,800300,Cameroon,10.0,10.0,0.0
2025,US,United States of America,800300,Canada,0.0,0.0,0.0
2025,US,United States of America,800300,Cayman Islands,22.0,22.0,0.0
2024,US,United States of America,800300,Central African Republic,10.0,10.0,0.0
2025,US,United States of America,800300,Chad,10.0,10.0,0.0
2021,US,United States of America,800300,Chile,6.0,0.0,6.0
2026,US,United States of America,800300,China,8.0,8.0,0.0
2026,US,United States of America,800300,Chinese Taipei,0.0,0.0,0.0
2021,US,United States of America,800300,Colombia,0.0,0.0,0.0
2022,US,United States of America,800300,Comoros,20.0,20.0,0.0
2015,US,United States of America,800300,Congo,20.0,20.0,0.0
2020,US,United States of America,800300,"Congo, Democratic Republic of",10.0,10.0,0.0
2025,US,United States of America,800300,Cook Islands,0.0,0.0,0.0
2024,US,United States of America,800300,Costa Rica,0.0,0.0,0.0
2026,US,United States of America,800300,Croatia,0.0,0.0,0.0
2021,US,United States of America,800300,Cuba,10.0,10.0,0.0
2025,US,United States of America,800300,Curacao,10.5,10.5,0.0
2026,US,United States of America,800300,Cyprus,0.0,0.0,0.0
2026,US,United States of America,800300,Czech Republic,0.0,0.0,0.0
2025,US,United States of America,800300,Côte d'Ivoire,20.0,20.0,0.0
2026,US,United States of America,800300,Denmark,0.0,0.0,0.0
2014,US,United States of America,800300,Djibouti,26.0,26.0,0.0
2025,US,United States of America,800300,Dominica,0.0,0.0,0.0
2023,US,United States of America,800300,Dominican Republic,0.0,0.0,0.0
2022,US,United States of America,800300,Ecuador,0.0,0.0,0.0
2019,US,United States of America,800300,Egypt,10.0,10.0,0.0
2025,US,United States of America,800300,El Salvador,0.0,0.0,0.0
2007,US,United States of America,800300,Equatorial Guinea,10.0,10.0,0.0
2026,US,United States of America,800300,Estonia,0.0,0.0,0.0
2026,US,United States of America,800300,Eswatini,0.0,0.0,0.0
2021,US,United States of America,800300,Ethiopia,5.0,5.0,0.0
2025,US,United States of America,800300,Fiji,5.0,5.0,0.0
2026,US,United States of America,800300,Finland,0.0,0.0,0.0
2026,US,United States of America,800300,France,0.0,0.0,0.0
2026,US,United States of America,800300,French Polynesia,10.0,10.0,0.0
2024,US,United States of America,800300,Gabon,10.0,10.0,0.0
2025,US,United States of America,800300,Gambia,20.0,20.0,0.0
2024,US,United States of America,800300,Georgia,0.0,0.0,0.0
2026,US,United States of America,800300,Germany,0.0,0.0,0.0
2025,US,United States of America,800300,Ghana,20.0,20.0,0.0
2025,US,United States of America,800300,Gibraltar,12.0,12.0,0.0
2026,US,United States of America,800300,Greece,0.0,0.0,0.0
2024,US,United States of America,800300,Grenada,5.0,5.0,0.0
2026,US,United States of America,800300,Guatemala,0.0,0.0,0.0
2025,US,United States of America,800300,Guinea,20.0,20.0,0.0
2025,US,United States of America,800300,Guinea-Bissau,20.0,20.0,0.0
2023,US,United States of America,800300,Guyana,5.0,5.0,0.0
2024,US,United States of America,800300,Haiti,0.0,0.0,0.0
2022,US,United States of America,800300,Honduras,0.0,0.0,0.0
2026,US,United States of America,800300,"Hong Kong, China Special Administrative Region",0.0,0.0,0.0
2026,US,United States of America,800300,Hungary,0.0,0.0,0.0
2025,US,United States of America,800300,Iceland,0.0,0.0,0.0
2025,US,United States of America,800300,India,5.0,5.0,0.0
2025,US,United States of America,800300,Indonesia,5.0,5.0,0.0
2020,US,United States of America,800300,Iran (Islamic Republic of),5.0,5.0,0.0
2026,US,United States of America,800300,Ireland,0.0,0.0,0.0
2022,US,United States of America,800300,Israel,0.0,0.0,0.0
2026,US,United States of America,800300,Italy,0.0,0.0,0.0
2025,US,United States of America,800300,Jamaica,0.0,0.0,0.0
2025,US,United States of America,800300,Japan,2.5,2.5,0.0
2023,US,United States of America,800300,Jordan,0.0,0.0,0.0
2025,US,United States of America,800300,Kazakhstan,0.59,0.59,0.0
2025,US,United States of America,800300,Kenya,10.0,10.0,0.0
2025,US,United States of America,800300,Kiribati,0.0,0.0,0.0
2025,US,United States of America,800300,"Korea, Republic of",8.0,0.0,8.0
2026,US,United States of America,800300,Kosovo,10.0,0.0,10.0
2025,US,United States of America,800300,Kuwait,5.0,5.0,0.0
2025,US,United States of America,800300,Kyrgyzstan,0.59,0.59,0.0
2021,US,United States of America,800300,"Lao, People's Democratic Republic",20.0,20.0,0.0
2026,US,United States of America,800300,Latvia,0.0,0.0,0.0
2023,US,United States of America,800300,Lebanon,0.0,0.0,0.0
2026,US,United States of America,800300,Lesotho,0.0,0.0,0.0
2025,US,United States of America,800300,Liberia,20.0,20.0,0.0
2025,US,United States of America,800300,Libya,5.0,5.0,0.0
2026,US,United States of America,800300,Liechtenstein,0.0,0.0,0.0
2026,US,United States of America,800300,Lithuania,0.0,0.0,0.0
2026,US,United States of America,800300,Luxembourg,0.0,0.0,0.0
2025,US,United States of America,800300,"Macao, China Special Administrative Region",0.0,0.0,0.0
2026,US,United States of America,800300,Madagascar,10.0,10.0,0.0
2022,US,United States of America,800300,Malawi,10.0,10.0,0.0
2025,US,United States of America,800300,Malaysia,0.0,0.0,0.0
2025,US,United States of America,800300,Maldives,10.0,10.0,0.0
2025,US,United States of America,800300,Mali,20.0,20.0,0.0
2026,US,United States of America,800300,Malta,0.0,0.0,0.0
2021,US,United States of America,800300,Mauritania,20.0,20.0,0.0
2025,US,United States of America,800300,Mauritius,0.0,0.0,0.0
2013,US,United States of America,800300,Mayotte,5.0,5.0,0.0
2022,US,United States of America,800300,Mexico,0.0,0.0,0.0
2025,US,United States of America,800300,Micronesia (Federated States of),4.0,4.0,0.0
2022,US,United States of America,800300,"Moldova, Republic of",0.0,0.0,0.0
2019,US,United States of America,800300,Mongolia,5.0,5.0,0.0
2025,US,United States of America,800300,Montenegro,0.0,0.0,0.0
2025,US,United States of America,800300,Montserrat,15.0,15.0,0.0
2025,US,United States of America,800300,Morocco,12.5,0.0,12.5
2025,US,United States of America,800300,Mozambique,7.5,7.5,0.0
2024,US,United States of America,800300,Myanmar,5.0,5.0,0.0
2026,US,United States of America,800300,Namibia,0.0,0.0,0.0
2025,US,United States of America,800300,Nauru,10.0,10.0,0.0
2025,US,United States of America,800300,Nepal,15.0,15.0,0.0
2026,US,United States of America,800300,Netherlands,0.0,0.0,0.0
2024,US,United States of America,800300,New Caledonia,0.0,0.0,0.0
2025,US,United States of America,800300,New Zealand,0.0,0.0,0.0
2025,US,United States of America,800300,Nicaragua,0.0,0.0,0.0
2025,US,United States of America,800300,Niger,20.0,20.0,0.0
2024,US,United States of America,800300,Nigeria,20.0,20.0,0.0
2024,US,United States of America,800300,"North Macedonia, Republic of",0.0,0.0,0.0
2026,US,United States of America,800300,Norway,0.0,0.0,0.0
2025,US,United States of America,800300,Oman,5.0,0.0,5.0
2025,US,United States of America,800300,Pakistan,0.0,0.0,0.0
2025,US,United States of America,800300,Palau,0.0,0.0,0.0
2017,US,United States of America,800300,"Palestine, State of",0.0,0.0,0.0
2013,US,United States of America,800300,Panama,0.0,0.0,0.0
2025,US,United States of America,800300,Papua New Guinea,0.0,0.0,0.0
2023,US,United States of America,800300,Paraguay,12.0,12.0,0.0
2025,US,United States of America,800300,Peru,0.0,0.0,0.0
2025,US,United States of America,800300,Philippines,1.0,1.0,0.0
2026,US,United States of America,800300,Poland,0.0,0.0,0.0
2026,US,United States of America,800300,Portugal,0.0,0.0,0.0
2025,US,United States of America,800300,Qatar,5.0,5.0,0.0
2026,US,United States of America,800300,Romania,0.0,0.0,0.0
2025,US,United States of America,800300,Russian Federation,0.72,0.72,0.0
2025,US,United States of America,800300,Rwanda,10.0,10.0,0.0
2020,US,United States of America,800300,Saint Kitts and Nevis,5.0,5.0,0.0
2020,US,United States of America,800300,Saint Lucia,0.0,0.0,0.0
2025,US,United States of America,800300,Saint Pierre and Miquelon,5.0,5.0,0.0
2023,US,United States of America,800300,Saint Vincent and the Grenadines,5.0,5.0,0.0
2025,US,United States of America,800300,Samoa,8.0,8.0,0.0
2019,US,United States of America,800300,Sao Tome and Principe,10.0,10.0,0.0
2025,US,United States of America,800300,Saudi Arabia,5.0,5.0,0.0
2025,US,United States of America,800300,Senegal,20.0,20.0,0.0
2026,US,United States of America,800300,Serbia,1.0,1.0,0.0
2026,US,United States of America,800300,Seychelles,0.0,0.0,0.0
2025,US,United States of America,800300,Sierra Leone,20.0,20.0,0.0
2025,US,United States of America,800300,Singapore,0.0,0.0,0.0
2026,US,United States of America,800300,Slovakia,0.0,0.0,0.0
2026,US,United States of America,800300,Slovenia,0.0,0.0,0.0
2022,US,United States of America,800300,Solomon Islands,10.0,10.0,0.0
2025,US,United States of America,800300,Somalia,15.0,15.0,0.0
2026,US,United States of America,800300,South Africa,0.0,0.0,0.0
2025,US,United States of America,800300,South Sudan,10.0,10.0,0.0
2026,US,United States of America,800300,Spain,0.0,0.0,0.0
2026,US,United States of America,800300,Sri Lanka,0.0,0.0,0.0
2021,US,United States of America,800300,Sudan,25.0,25.0,0.0
2021,US,United States of America,800300,Suriname,5.0,5.0,0.0
2026,US,United States of America,800300,Sweden,0.0,0.0,0.0
2026,US,United States of America,800300,Switzerland,0.0,0.0,0.0
2020,US,United States of America,800300,Syrian Arab Republic,5.0,5.0,0.0
2021,US,United States of America,800300,Tajikistan,5.0,5.0,0.0
2025,US,United States of America,800300,"Tanzania, United Republic of",10.0,10.0,0.0
2021,US,United States of America,800300,Thailand,0.0,0.0,0.0
2025,US,United States of America,800300,Timor-Leste,2.5,2.5,0.0
2025,US,United States of America,800300,Togo,20.0,20.0,0.0
2025,US,United States of America,800300,Tonga,15.0,15.0,0.0
2022,US,United States of America,800300,Trinidad and Tobago,0.0,0.0,0.0
2025,US,United States of America,800300,Tunisia,0.0,0.0,0.0
2017,US,United States of America,800300,Tuvalu,0.0,0.0,0.0
2025,US,United States of America,800300,Türkiye,0.0,0.0,0.0
2025,US,United States of America,800300,Uganda,10.0,10.0,0.0
2025,US,United States of America,800300,Ukraine,0.0,0.0,0.0
2025,US,United States of America,800300,United Arab Emirates,5.0,5.0,0.0
2026,US,United States of America,800300,United Kingdom,0.0,0.0,0.0
2023,US,United States of America,800300,Uruguay,10.8,10.8,0.0
2021,US,United States of America,800300,Uzbekistan,0.0,0.0,0.0
2025,US,United States of America,800300,Vanuatu,0.0,0.0,0.0
2025,US,United States of America,800300,Venezuela (Bolivarian Republic of),12.0,12.0,0.0
2026,US,United States of America,800300,Viet Nam,6.5,6.5,0.0
2025,US,United States of America,800300,Wallis and Futuna,6.0,6.0,0.0
2017,US,United States of America,800300,Yemen,5.0,5.0,0.0
2025,US,United States of America,800300,Zambia,15.0,15.0,0.0
2015,US,United States of America,800300,Zimbabwe,5.0,5.0,0.0
